DATA,2__BAIRRO_ONDE_MORA,CIDADE_ONDE_MORA,3__COM_QUEM_VIVE,4__NATURAL_DE,ESTADO_NATURAL,5__HA_QUANTO_ANOS_EM_JOAO_PESSOA,6__VOCE_ENCONTROU_O_QUE_PROCURAVA_NA_FEIRA,"6_1_SE_A_RESPOSTA_ACIMA_FOR_NAO,_O_QUE_VOCE_NAO_ENCONTROU",7__SENTIU_FALTA_DE_ALGUM_PRODUTO,"7_1_SE_A_RESPOSTA_ACIMA_FOR_SIM,_QUAL_PRODUTO_VOCE_SENTIU_FALTA",8__DO_QUE_MAIS_GOSTOU,9__QUANTO_COMPROU_DE_ARTESANATO_NA_FEIRA,10__COMPROU_PRINCIPALMENTE,10_1_O_ARTESANATO_QUE_VOCE_COMPROU_FOI_DE_USO,11__DESTINO_DA_COMPRA,12__PRINCIPAL_MOTIVACAO_DA_COMPRA,13__VOCE_SE_CONSIDERA_UM_COMPRADOR_DE_ARTESANATO,14__QUANTAS_PECAS_DE_ARTESANATO_VOCE_ESTIMA_TER_EM_SUA_CASA,15_QUANTAS_SAO_DO_ARTESANATO_PARAIBANO,16_QUAL_SUA_SUGESTAO_PARA_MELHORAR_OU_DIVERSIFICAR_O_ARTESANATO_PARAIBANO
2022-02-01 19:54:00.888,VALENTINA,JOÃO PESSOA,COM COMPANHEIRO (A),JOÃO PESSOA,PB,17.0,SIM,NAN,NÃO,NAN,"PEÇAS DE CROCHÊ,DESENHOS",190.0,ARTESANATO TRADICIONAL,"PESSOAL, PRESENTE",USO PRÓPRIO,BELEZA,EVENTUAL OU OCASIONAL,10.0,10.0,"NENHUMA, GOSTOU DE TUDO."
2022-02-01 20:04:41.139,MANGABEIRA,JOÃO PESSOA,COM FAMÍLIA,JOÃO PESSOA,PB,39.0,SIM,NAN,SIM,"MÁSCARAS, ANÉIS DE MADEIRA E OUTRAS NOVIDADES",FLORES ARTESANAIS ( ESCAMA DE PEIXE),50.0,ARTESANATO TRADICIONAL,PESSOAL,USO PRÓPRIO,UTILIDADE,FREQUENTE OU ASSÍDUO,,,OFERTA DE NOVIDADES
2022-02-02 16:57:19.565,PORTAL DO SOL,JOÃO PESSOA,COM FAMÍLIA,BRASILIA,DF,2.0,SIM,NAN,NÃO,NAN,"ORGANIZAÇÃO , GOSTARAM DE TUDO",NAN,ARTESANATO TRADICIONAL,DECORAÇÃO,USO PRÓPRIO,BELEZA,FREQUENTE OU ASSÍDUO,30.0,5.0,AUMENTAR DIVULGAÇÃO
2022-02-02 17:15:04.593,GEISEL,JOÃO PESSOA,COM FAMÍLIA,GUARABIRA,PB,42.0,SIM,NAN,NÃO,NAN,MÓVEIS DE MADEIRA,,NAN,NAN,NAN,NAN,FREQUENTE OU ASSÍDUO,30.0,10.0,"SEM SUGESTÃO, ACHOU A FEIRA ESPETACULAR."
2022-02-02 17:21:20.993,BANCARIOS,JOÃO PESSOA,COM COMPANHEIRO (A),JOÃO PESSOA,PB,,SIM,NAN,SIM,COMIDAS TÍPICAS,PEÇAS DE ALGODÃO COLORIDO,25.0,ARTESANATO TRADICIONAL,PRESENTE,PRESENTE,NOVIDADE,FREQUENTE OU ASSÍDUO,20.0,10.0,MAIS PEÇAS DO INTERIOR DA PARAÍBA - MAIS REGIONAIS
2022-02-02 17:30:07.612,ERNANI SATIRO,JOÃO PESSOA,COM FAMÍLIA,GUARABIRA,PB,1.0,SIM,NAN,NÃO,NAN,"BRINQUEDOS, BISCUIT,MINIATURAS",,NAN,NAN,NAN,NAN,FREQUENTE OU ASSÍDUO,2.0,2.0,MAIS DIVULGAÇÃO
2022-02-02 17:33:08.188,TAMBAUZINHO,JOÃO PESSOA,SOZINHO,RIO DE JANEIRO,RJ,0.6666666667,SIM,NAN,NÃO,NAN,VESTIDOS SAÍDA DE PRAIA,NAN,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,10.0,5.0,COLOCAR MAIS COMIDAS TÍPICAS NAS FEIRAS
2022-02-02 17:41:02.481,JARDIM SAO PAULO,JOÃO PESSOA,SOZINHO,RIO DE JANEIRO,RJ,40.0,SIM,NAN,NÃO,NAN,ROUPAS DE BEBÊ BORDADAS,NAN,ARTESANATO TRADICIONAL,PESSOAL,USO PRÓPRIO,UTILIDADE,EVENTUAL OU OCASIONAL,5.0,2.0,ATRAIR PESSOAS PARA O EVENTO
2022-02-02 17:41:29.028,TAMBAU,JOÃO PESSOA,SOZINHO,JOÃO PESSOA,PB,70.0,SIM,NAN,NÃO,NAN,PEÇAS DE CERÂMICA,500.0,ARTESANATO CONTEMPORÂNEO,"PESSOAL, DECORAÇÃO",USO PRÓPRIO,BELEZA,FREQUENTE OU ASSÍDUO,50.0,30.0,MAIS DIVULGAÇÃO E MAIS INCENTIVO DO GOVERNO
2022-02-02 17:47:56.086,CABO BRANCO,JOÃO PESSOA,SOZINHO,CEARÁ,CE,20.0,SIM,NAN,NÃO,NAN,PEÇAS DE MADEIRA,200.0,ARTESANATO TRADICIONAL,UTILITÁRIOS,USO PRÓPRIO,BELEZA,EVENTUAL OU OCASIONAL,5.0,1.0,TÁ ÓTIMO - SEM SUGESTÃO
2022-02-02 17:52:01.653,ALTIPLANO CABO BRANCO,JOÃO PESSOA,COM FAMÍLIA,JOÃO PESSOA,PB,30.0,NÃO,PEÇAS DE MADEIRA DE UM ARTESÃO DE SANTA LUZIA,SIM,ESPÍRITO SANTO DE MADEIRA,"PEÇAS DE MADEIRA,ALGODÃO COLORIDO",10.0,ARTESANATO TRADICIONAL,PRESENTE,PRESENTE,BELEZA,EVENTUAL OU OCASIONAL,10.0,10.0,SEM SUGESTÃO - TUDO MUITO BEM ELABORADO
2022-02-02 17:57:26.870,TAMBAU,JOÃO PESSOA,COM FAMÍLIA,NAN,PE,25.0,SIM,NAN,NÃO,NAN,PEÇAS DE SUCATA,50.0,ARTESANATO TRADICIONAL,"PESSOAL, PRESENTE",USO PRÓPRIO,BELEZA,EVENTUAL OU OCASIONAL,10.0,10.0,TUDO PERFEITO
2022-02-02 18:21:04.822,MANAIRA,JOÃO PESSOA,SOZINHO,RECIFE,PE,2.0,SIM,NAN,NÃO,NAN,ESCULTURAS DE SUCATA,285.0,ARTESANATO CONTEMPORÂNEO,"PESSOAL, DECORAÇÃO",USO PRÓPRIO,PREÇO,EVENTUAL OU OCASIONAL,6.0,2.0,MAIS INCENTIVO DO GOVERNO E MAIS FEIRAS - MELHORAR A ESTRUTURA ( ILUMINAÇÃO)
2022-02-02 18:30:46.075,BANCARIOS,JOÃO PESSOA,COM FAMÍLIA,RECIFE,PE,15.0,SIM,NAN,NÃO,NAN,PEÇAS DE RENASCENÇA,,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,50.0,25.0,DIVULGAÇÃO PERMANENTE  DURANTE O ANO TODO / FEIRA DOMINICAL ( IGUAL A DO NATAL DOS SENTIMENTO)
2022-02-02 18:38:00.018,CASTELO BRANCO,JOÃO PESSOA,SOZINHO,OLINDA,PE,6.0,SIM,NAN,NÃO,NAN,"ORGANIZAÇÃO DO EVENTO , HABILIDADES MANUAIS",0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,7.5,7.5,NÃO
2022-02-02 18:41:52.044,CAMBOINHA,JOÃO PESSOA,COM FAMÍLIA,JOÃO PESSOA,PB,30.0,SIM,NAN,SIM,CESTO DE PALHA,LUSTRES DE ESCAMA,100.0,ARTESANATO TRADICIONAL,"DECORAÇÃO, UTILITÁRIOS",USO PRÓPRIO,PREÇO,EVENTUAL OU OCASIONAL,3.0,3.0,"NÃO , GOSTOU DE TUDO"
2022-02-02 18:45:34.247,AEROCLUBE,JOÃO PESSOA,COM FAMÍLIA,SOUZA,PB,25.0,SIM,NAN,SIM,PANOS DE PRATO,PEÇAS DE MADEIRA,50.0,ARTESANATO TRADICIONAL,PRESENTE,PRESENTE,NOVIDADE,EVENTUAL OU OCASIONAL,20.0,20.0,SEM SUGESTÃO
2022-02-02 18:49:58.775,FUNCIONARIOS II,JOÃO PESSOA,COM COMPANHEIRO (A),JOÃO PESSOA,PB,34.0,SIM,NAN,SIM,PEDRAS,PEÇAS DE METAL,70.0,ARTESANATO TRADICIONAL,"PESSOAL, PRESENTE",PRESENTE,BELEZA,EVENTUAL OU OCASIONAL,3.0,2.0,SEM SUGESTÃO
2022-02-02 18:55:17.306,TORRE,JOÃO PESSOA,COM FAMÍLIA,JOÃO PESSOA,PB,38.0,SIM,NAN,NÃO,NAN,ARTESANATO COM AS ESCAMAS,21.0,NAN,NAN,USO PRÓPRIO,NAN,NAN,0.0,0.0,NAN
2022-02-02 19:09:46.838,BANCARIOS,JOÃO PESSOA,COM COMPANHEIRO (A),JOÃO PESSOA,PB,30.0,SIM,NAN,NÃO,NAN,"TRABALHOS COM MADEIRA, ALGODÃO COLORIDO,METAL.",10.0,ARTESANATO TRADICIONAL,UTILITÁRIOS,USO PRÓPRIO,UTILIDADE,EVENTUAL OU OCASIONAL,0.0,0.0,DIVULGAÇÃO
2022-02-02 19:09:55.799,OITIZEIRO,JOÃO PESSOA,COM FAMÍLIA,JOÃO PESSOA,PB,,SIM,NAN,NÃO,NAN,NAN,NAN,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,8.0,8.0,AUMENTAR QUANTIDADE DE FEIRAS PARA DIVULGAR OS ARTESÃOS
2022-02-02 19:15:25.739,IMACULADA,BAYEUX,COM FAMÍLIA,JOÃO PESSOA,PB,,SIM,NAN,NÃO,NAN,ARTESANATO NA MADEIRA,200.0,ARTESANATO TRADICIONAL,PRESENTE,PRESENTE,BELEZA,EVENTUAL OU OCASIONAL,0.0,0.0,DIVULGAÇÃO
2022-02-02 19:24:49.705,JARDIM OCEANIA,JOÃO PESSOA,COM COMPANHEIRO (A),RIO DE JANEIRO,RJ,3.0,SIM,NAN,NÃO,NAN,HABILIDADE MANUAL,NAN,ARTESANATO CONTEMPORÂNEO,DECORAÇÃO,USO PRÓPRIO,PREÇO,FREQUENTE OU ASSÍDUO,30.0,10.0,INCENTIVO PREFEITURA E GOVERNO
2022-02-02 19:27:17.626,JOAO PAULO II,JOÃO PESSOA,COM FAMÍLIA,CATOLE DO ROCHA,PB,30.0,SIM,NAN,NÃO,NAN,ARTESANATO DE MADEIRA,0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,0.0,0.0,DIVULGAÇÃO.
2022-02-02 19:35:19.997,MANGABEIRA,JOÃO PESSOA,COM FAMÍLIA,JOÃO PESSOA,PB,43.0,SIM,NAN,NÃO,NAN,TRABALHO COM FIOS,40.0,ARTESANATO TRADICIONAL,DECORAÇÃO,USO PRÓPRIO,UTILIDADE,EVENTUAL OU OCASIONAL,15.0,15.0,DIVULGAÇÃO.
2022-02-02 19:36:46.672,BANCARIOS,JOÃO PESSOA,SOZINHO,JOÃO PESSOA,PB,,SIM,NAN,NÃO,NAN,"CROCHÊS,CERÂMICA",30.0,ARTESANATO TRADICIONAL,DECORAÇÃO,USO PRÓPRIO,BELEZA,FREQUENTE OU ASSÍDUO,20.0,10.0,NÃO
2022-02-02 19:40:32.761,JARDIM OCEANIA,JOÃO PESSOA,COM FAMÍLIA,JOÃO PESSOA,PB,61.0,SIM,NAN,NÃO,NAN,"ALGODÃO COLORIDO, CERÂMICAS.",150.0,ARTESANATO TRADICIONAL,PESSOAL,USO PRÓPRIO,BELEZA,EVENTUAL OU OCASIONAL,50.0,30.0,MAIOR FREQUÊNCIA DA FEIRA E MAIOR DIVULGAÇÃO.
2022-02-03 18:17:19.164,TAMBAUZINHO,JOÃO PESSOA,SOZINHO,SANTA CRUZ,RN,40.0,SIM,NAN,NÃO,NAN,GOSTOU DE TUDO,45.0,ARTESANATO CONTEMPORÂNEO,DECORAÇÃO,USO PRÓPRIO,BELEZA,FREQUENTE OU ASSÍDUO,40.0,40.0,DIMINUIR UM POUCO O VALOR DAS PEÇAS
2022-02-03 18:23:17.955,VALENTINA,JOÃO PESSOA,COM COMPANHEIRO (A),JOÃO PESSOA,PB,,SIM,NAN,NÃO,NAN,VARIEDADE,120.0,ARTESANATO CONTEMPORÂNEO,UTILITÁRIOS,USO PRÓPRIO,UTILIDADE,EVENTUAL OU OCASIONAL,4.0,4.0,NENHUMA
2022-02-03 18:23:39.206,CABO BRANCO,JOÃO PESSOA,COM FAMÍLIA,SOLANEA,PB,50.0,SIM,NAN,NÃO,NAN,BOLSAS DE CROCHÊ,48.0,ARTESANATO TRADICIONAL,PRESENTE,PRESENTE,BELEZA,EVENTUAL OU OCASIONAL,10.0,10.0,SEM SUGESTÃO PARA ARTESANATO/ GOSTARIA QUE TIVESSE MÚSICA REGIONAL AO VIVO NAS FEIRAS
2022-02-03 18:34:32.583,CABO BRANCO,JOÃO PESSOA,COM COMPANHEIRO (A),JOÃO PESSOA,PB,20.0,NAN,NAN,NAN,NAN,"ORNAMENTAÇÃO,ATENDIMENTO",175.0,ARTESANATO TRADICIONAL,UTILITÁRIOS,USO PRÓPRIO,UTILIDADE,EVENTUAL OU OCASIONAL,15.0,,OS PREÇOS MELHORAR
2022-02-03 18:39:22.235,BESSA,JOÃO PESSOA,SOZINHO,BRASÍLIA,DF,1.0,SIM,NAN,NÃO,NAN,"VARIEDADE,ACESSÍVEL OS VALORES, ALÉM DO ATENDIMENTO",60.0,ARTESANATO TRADICIONAL,PESSOAL,USO PRÓPRIO,NOVIDADE,EVENTUAL OU OCASIONAL,8.0,3.0,FICOU SATISFEITA
2022-02-03 18:51:48.652,BANCARIOS,JOÃO PESSOA,COM FAMÍLIA,JOÃO PESSOA,PB,2.0,SIM,NAN,NÃO,NAN,"BONECAS, BIJUTERIAS, VASO DE CERÂMICA",100.0,ARTESANATO CONTEMPORÂNEO,"PESSOAL, DECORAÇÃO",USO PRÓPRIO,PREÇO,EVENTUAL OU OCASIONAL,4.0,2.0,"SEM SUGESTÃO, MAS GOSTARIA DE ELOGIAR O ATENDIMENTO DOS ARTESÃOS, SENTIU UMA ÓTIMA RECEPTIVIDADE."
2022-02-03 18:58:02.806,CABO BRANCO,JOÃO PESSOA,COM COMPANHEIRO (A),JOÃO PESSOA,PB,20.0,SIM,NAN,NAN,NAN,DIVERSIDADE,NAN,ARTESANATO TRADICIONAL,UTILITÁRIOS,USO PRÓPRIO,UTILIDADE,EVENTUAL OU OCASIONAL,8.0,4.0,SUGESTÃO QUE TIVESSE UM EVENTO NO INÍCIO DE JANEIRO QUE POSSIVELMENTE TERÍAMOS MAIS TURISTAS NA CIDADE
2022-02-03 18:59:48.621,CABO BRANCO,JOÃO PESSOA,COM FAMÍLIA,CABACEIRAS,PB,40.0,SIM,NAN,NÃO,NAN,"PEÇAS DE RENASCENÇA, BORDADOS, FLORES DE ESCAMA DE PEIXE, CROCHÊ",80.0,ARTESANATO TRADICIONAL,"PESSOAL, PRESENTE",USO PRÓPRIO,BELEZA,FREQUENTE OU ASSÍDUO,10.0,10.0,"SEM SUGESTÃO, ESTÁ TUDO ÓTIMO."
2022-02-03 19:05:35.456,PORTAL DO SOL,JOÃO PESSOA,COM COMPANHEIRO (A),JOÃO PESSOA,PB,20.0,NAN,NAN,SIM,ACHOU QUE OS OUTROS ANOS TINHA UMA MAIOR NÚMERO DE ARTESÃOS,TEMA DO MAR,NAN,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,15.0,10.0,MELHOR DIVULGAÇÃO
2022-02-03 19:09:16.377,GEISEL,JOÃO PESSOA,SOZINHO,VITÓRIA DE SANTO ANTÃO,PE,2.0,SIM,NAN,NAN,NAN,DECORAÇÃO DA FEIRA,200.0,ARTESANATO TRADICIONAL,"PESSOAL, DECORAÇÃO",USO PRÓPRIO,UTILIDADE,FREQUENTE OU ASSÍDUO,10.0,0.0,SUGESTÃO CLIMATIZAÇÃO PRÓX FEIRA
